Page,District_Name,Total_Issuers,Small_Borrowers,Sub_State_Inv_Value,Sub_State_Inv_Unit,Total_Inv_Value,Sub_State_Sav_Value,Small_Borrowers_Pct
1,Alaska 0th,17,6,2.31,billion,6.28,48.51,35.3
5,Alabama 1st,93,64,17.62,billion,20.91,370.06,68.8
10,Alabama 2nd,103,65,20.11,billion,23.5,422.28,63.1
16,Alabama 3rd,88,56,11.97,billion,15.52,251.28,63.6
21,Alabama 4th,90,62,3.6,billion,7.16,75.66,68.9
26,Alabama 5th,53,23,5.2,billion,8.66,109.24,43.4
30,Alabama 6th,76,35,12.41,billion,15.93,260.69,46.1
35,Alabama 7th,93,59,19.88,billion,23.4,417.55,63.4
40,Arkansas 1st,169,147,3.1,billion,3.67,65,87
47,Arkansas 2nd,105,80,4.48,billion,5.07,94.12,76.2
53,Arkansas 3rd,80,60,3.69,billion,4.28,77.39,75
58,Arkansas 4th,170,153,3.18,billion,3.77,66.83,90
65,Arizona 1st,54,14,21.2,billion,22.81,445.29,25.9
69,Arizona 2nd,85,52,13.88,billion,15.39,291.51,61.2
74,Arizona 3rd,63,15,22.75,billion,24.32,477.82,23.8
79,Arizona 4th,62,18,22.42,billion,23.98,470.73,29
84,Arizona 5th,62,20,18.91,billion,20.4,397.13,32.3
89,Arizona 6th,59,31,7.4,billion,8.99,155.38,52.5
94,Arizona 7th,94,50,11.08,billion,12.56,232.65,53.2
99,Arizona 8th,63,17,21.24,billion,22.82,446.01,27
104,Arizona 9th,85,35,8.26,billion,9.89,173.37,41.2
109,California 1st,97,77,12.28,billion,96.79,257.95,79.4
115,California 2nd,149,104,28,billion,112.1,587.94,69.8
122,California 3rd,137,81,17.31,billion,101.63,363.54,59.1
129,California 4th,121,75,47.77,billion,131.69,"1,003.10",62
136,California 5th,95,62,19.78,billion,104.62,415.47,65.3
142,California 6th,57,18,18.51,billion,102.59,388.78,31.6
147,California 7th,60,18,28.76,billion,112.37,604.05,30
152,California 8th,65,26,38.17,billion,122.53,801.56,40
157,California 9th,81,44,15.18,billion,99.97,318.72,54.3
163,California 10th,71,30,30.84,billion,114.63,647.72,42.3
168,California 11th,44,7,56.51,billion,139.79,"1,186.65",15.9
173,California 12th,68,26,51.2,billion,136.09,"1,075.26",38.2
178,California 13th,126,77,23.76,billion,109.42,498.96,61.1
186,California 14th,53,12,40.15,billion,125.19,843.16,22.6
191,California 15th,79,31,34.08,billion,118.34,715.68,39.2
197,California 16th,96,32,37.28,billion,123.5,782.89,33.3
203,California 17th,90,26,44.08,billion,129.97,925.77,28.9
209,California 18th,101,45,35.56,billion,120.91,746.71,44.6
216,California 19th,112,51,58.54,billion,143.77,"1,229.36",45.5
222,California 20th,92,56,14.14,billion,99,296.95,60.9
228,California 21st,69,43,8.37,billion,92.76,175.83,62.3
233,California 22nd,100,76,7.09,billion,91.64,148.92,76
240,California 23rd,88,60,6.07,billion,91.63,127.49,68.2
246,California 24th,75,45,30.42,billion,114.86,638.78,60
252,California 25th,139,85,9.69,billion,94.56,203.48,61.2
260,California 26th,78,43,25.29,billion,109.86,531.07,55.1
266,California 27th,78,32,20.26,billion,105.37,425.39,41
272,California 28th,103,41,35.74,billion,123.68,750.57,39.8
279,California 29th,69,15,76.96,billion,159.98,"1,616.07",21.7
284,California 30th,75,16,80.54,billion,164.6,"1,691.33",21.3
289,California 31st,74,25,35.01,billion,121.31,735.25,33.8
295,California 32nd,67,17,75.69,billion,158.71,"1,589.40",25.4
300,California 33rd,73,31,20.25,billion,105.82,425.26,42.5
305,California 34th,63,12,77.43,billion,161.11,"1,625.99",19
310,California 35th,119,44,34.05,billion,120.08,715.09,37
317,California 36th,82,20,88.11,billion,172.38,"1,850.26",24.4
323,California 37th,66,13,74.21,billion,158.14,"1,558.37",19.7
328,California 38th,82,30,32.82,billion,119.2,689.32,36.6
334,California 39th,81,25,37.54,billion,121.7,788.41,30.9
340,California 40th,89,36,24.7,billion,109.4,518.65,40.4
346,California 41st,121,54,16.22,billion,101.22,340.67,44.6
353,California 42nd,74,31,54.02,billion,138.39,"1,134.46",41.9
358,California 43rd,90,29,69.56,billion,153.5,"1,460.85",32.2
364,California 44th,88,23,84.36,billion,167.75,"1,771.58",26.1
370,California 45th,98,39,32.33,billion,119.2,679.01,39.8
376,California 46th,69,23,28.02,billion,113.39,588.46,33.3
381,California 47th,64,21,37.48,billion,121.87,787.14,32.8
386,California 48th,122,47,24.62,billion,112.21,517.09,38.5
394,California 49th,87,36,19.01,billion,104.32,399.22,41.4
