Page,District_Name,Category,Investment_Amount
2,Alaska 0th,Airports,273
2,Alaska 0th,Courts and Courtroom Facilities,115.09
2,Alaska 0th,Fire Stations and Equipment,6.14
2,Alaska 0th,GAS,11.79
2,Alaska 0th,General Purpose/Public Improvements,678.36
2,Alaska 0th,Government and Public Buildings,20.82
2,Alaska 0th,Hospitals,197.86
2,Alaska 0th,Human Services,39.14
2,Alaska 0th,Multi-Family Housing,10
2,Alaska 0th,New Public Housing,6.9
2,Alaska 0th,Other Transportation,10.98
2,Alaska 0th,"Parks, Zoos and Beaches",18.5
2,Alaska 0th,Primary/Secondary Education,490.65
2,Alaska 0th,Public Higher Education,114.17
2,Alaska 0th,Sanitation,108.76
2,Alaska 0th,Sewer,56.84
2,Alaska 0th,Streets and Highways,70.66
2,Alaska 0th,Water Utilities,80.2
6,Alabama 1st,Airports,4.98
6,Alabama 1st,Combined Utilities,61.74
6,Alabama 1st,Courts and Courtroom Facilities,62.67
6,Alabama 1st,Electric Utilities and Public Power,2022.76
6,Alabama 1st,Fire Stations and Equipment,2.9
6,Alabama 1st,GAS,12097.6
6,Alabama 1st,General Purpose/Public Improvements,673.21
6,Alabama 1st,Government and Public Buildings,17.15
6,Alabama 1st,Hospitals,310.82
6,Alabama 1st,Industrial Development,6
6,Alabama 1st,Lifecare/Retirement Centers,168.44
6,Alabama 1st,Mass/Rapid Transit,23.58
6,Alabama 1st,Nursing Homes,10.58
6,Alabama 1st,Other,17.1
6,Alabama 1st,"Parks, Zoos and Beaches",19
6,Alabama 1st,Pollution Control,857.78
6,Alabama 1st,Primary/Secondary Education,525.04
6,Alabama 1st,Private Higher Education,26.68
6,Alabama 1st,Redevelopment/Land Clearance,365
6,Alabama 1st,Sewer,4.5
6,Alabama 1st,Solid Waste/Resource Recovery,211.5
6,Alabama 1st,Stadiums/Sports Complexes,83.14
6,Alabama 1st,Streets and Highways,0.48
6,Alabama 1st,Water Utilities,36.36
6,Alabama 1st,Water/Sewer Utilities,12.96
11,Alabama 2nd,Airports,7.52
11,Alabama 2nd,Combined Utilities,37.48
11,Alabama 2nd,Courts and Courtroom Facilities,10.16
11,Alabama 2nd,Economic Development,82.34
11,Alabama 2nd,Electric Utilities and Public Power,2022.76
11,Alabama 2nd,GAS,13314.87
11,Alabama 2nd,General Purpose/Public Improvements,592.54
11,Alabama 2nd,Government and Public Buildings,5.64
11,Alabama 2nd,Hospitals,909.43
11,Alabama 2nd,Industrial Development,6
11,Alabama 2nd,Lifecare/Retirement Centers,99.17
11,Alabama 2nd,Multi-Family Housing,11.8
11,Alabama 2nd,"Parks, Zoos and Beaches",22.68
11,Alabama 2nd,Pollution Control,857.78
11,Alabama 2nd,Primary/Secondary Education,506.58
11,Alabama 2nd,Private Higher Education,122.76
11,Alabama 2nd,Public Higher Education,1034.16
11,Alabama 2nd,Seaports and Marine Terminals,6.13
11,Alabama 2nd,Sewer,1.22
11,Alabama 2nd,Solid Waste/Resource Recovery,211.5
11,Alabama 2nd,Streets and Highways,12.34
11,Alabama 2nd,Toll Roads,1
11,Alabama 2nd,Water/Sewer Utilities,232.93
17,Alabama 3rd,Combined Utilities,92.76
17,Alabama 3rd,Courts and Courtroom Facilities,8.72
